EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-4.017,20.353,24.020,23.456,27.209,19.585,17.518,29.431,0.051,0.971,0.278,-0.183,0.061,-0.061,93.333,88794.000,1.000
-1.553,17.430,25.264,21.256,25.370,17.533,16.086,25.521,0.050,0.970,0.276,-0.275,0.061,-0.092,93.333,88795.000,1.000
0.112,15.725,24.954,17.811,21.947,14.985,9.534,16.265,0.050,0.969,0.276,-0.305,0.031,-0.061,93.333,88796.000,1.000
2.833,13.245,19.102,11.802,15.400,10.097,-2.639,2.862,0.051,0.969,0.281,-0.336,-0.122,-0.061,93.333,88797.000,1.000
5.022,9.385,9.807,4.850,8.374,4.455,-12.160,-7.513,0.049,0.969,0.277,-0.366,-0.122,-0.031,93.333,88798.000,1.000
5.055,6.298,3.854,1.129,5.149,1.506,-11.383,-8.399,0.049,0.970,0.277,-0.275,-0.244,-0.092,93.333,88799.000,1.000
4.021,5.118,3.435,1.014,4.798,1.173,-4.777,-4.543,0.047,0.971,0.277,-0.275,-0.214,0.031,93.333,88800.000,1.000
2.905,4.121,3.787,0.670,3.129,0.476,-1.127,-4.361,0.050,0.969,0.276,-0.336,-0.336,0.061,93.333,88801.000,1.000
1.453,1.364,0.680,-1.241,-0.903,-2.191,-2.240,-7.368,0.052,0.970,0.276,-0.397,-0.305,0.092,93.333,88802.000,1.000
-1.064,-3.736,-5.332,-3.285,-6.073,-6.848,-6.065,-9.798,0.050,0.969,0.275,-0.366,-0.366,0.092,93.333,88803.000,1.000
-4.272,-10.153,-11.412,-5.447,-11.434,-12.373,-10.939,-12.019,0.051,0.970,0.276,-0.305,-0.336,0.031,93.333,88804.000,1.000
-6.072,-15.989,-15.816,-8.211,-15.931,-16.272,-15.115,-14.752,0.050,0.970,0.276,-0.427,-0.549,0.031,93.333,88805.000,1.000
-6.274,-20.047,-18.571,-10.160,-18.502,-16.447,-16.532,-15.972,0.052,0.969,0.275,-0.397,-0.488,0.031,93.333,88806.000,1.000
-6.222,-20.116,-18.131,-8.172,-16.701,-11.533,-10.979,-10.879,0.052,0.968,0.276,-0.427,-0.427,0.061,93.333,88807.000,1.000
-3.914,-13.496,-11.697,-0.684,-7.955,-1.714,3.646,3.577,0.053,0.968,0.277,-0.305,-0.366,0.183,93.333,88808.000,1.000
2.271,-3.669,-2.760,7.717,3.427,7.798,18.411,19.770,0.055,0.969,0.275,-0.305,-0.397,0.183,93.333,88809.000,1.000
6.979,1.618,0.799,10.183,8.816,10.644,21.459,25.579,0.055,0.968,0.273,-0.244,-0.458,0.183,93.333,88810.000,1.000
5.513,2.128,-0.068,8.037,8.363,9.019,15.601,22.417,0.055,0.966,0.274,-0.275,-0.305,0.275,93.333,88811.000,1.000
3.807,4.535,2.942,8.586,9.862,10.826,13.846,21.641,0.054,0.965,0.276,-0.275,-0.214,0.183,93.333,88812.000,1.000
8.444,9.358,9.665,12.015,13.902,16.179,18.302,23.893,0.056,0.968,0.278,-0.122,-0.153,0.244,93.333,88813.000,1.000
13.062,9.992,11.582,11.274,13.237,16.861,18.002,19.572,0.055,0.967,0.277,-0.153,-0.031,0.275,93.333,88814.000,1.000
8.942,4.724,6.145,4.475,5.833,10.139,8.676,7.639,0.057,0.968,0.275,-0.122,0.061,0.366,93.333,88815.000,1.000
1.686,-0.364,-0.694,-2.459,-2.347,2.948,-0.327,-2.022,0.059,0.968,0.274,-0.092,-0.031,0.305,93.333,88816.000,1.000
1.904,-0.690,-3.532,-4.572,-5.932,1.031,-1.616,-3.837,0.059,0.967,0.276,-0.122,0.153,0.366,93.333,88817.000,1.000
6.838,1.826,-2.338,-2.573,-5.157,2.037,1.249,-2.243,0.059,0.967,0.276,-0.244,0.244,0.275,93.333,88818.000,1.000
7.672,3.135,-0.984,-0.749,-4.424,0.333,1.163,-3.537,0.059,0.968,0.277,-0.214,0.366,0.336,93.333,88819.000,1.000
6.521,2.051,-3.359,-3.181,-7.493,-5.646,-4.364,-9.339,0.058,0.969,0.280,-0.153,0.488,0.366,93.333,88820.000,1.000
9.816,0.059,-9.316,-9.327,-12.981,-11.802,-11.159,-16.194,0.059,0.968,0.281,-0.275,0.549,0.427,93.333,88821.000,1.000
13.697,-1.653,-14.982,-13.798,-16.564,-13.866,-13.599,-19.366,0.058,0.969,0.280,-0.244,0.580,0.397,93.333,88822.000,1.000
11.990,-2.543,-17.033,-12.464,-16.055,-11.384,-9.744,-16.810,0.056,0.969,0.281,-0.275,0.671,0.366,93.333,88823.000,1.000
9.353,-2.671,-16.433,-8.433,-13.563,-7.119,-2.519,-11.222,0.054,0.968,0.279,-0.244,0.702,0.427,93.333,88824.000,1.000
12.935,-4.056,-17.263,-8.947,-14.272,-6.307,-1.760,-10.448,0.055,0.967,0.277,-0.305,0.824,0.427,93.333,88825.000,1.000
18.439,-7.254,-19.812,-14.231,-18.828,-10.485,-12.690,-17.758,0.056,0.966,0.279,-0.427,0.763,0.397,93.333,88826.000,1.000
16.037,-9.075,-20.291,-17.421,-20.920,-13.368,-22.854,-24.051,0.056,0.965,0.275,-0.275,0.916,0.427,93.333,88827.000,1.000
7.938,-8.595,-19.112,-16.870,-18.344,-10.734,-20.297,-21.467,0.054,0.964,0.275,-0.183,0.977,0.397,93.333,88828.000,1.000
6.989,-9.279,-20.246,-16.754,-16.394,-6.133,-10.943,-14.273,0.053,0.964,0.277,-0.183,0.977,0.397,93.333,88829.000,1.000
12.488,-12.698,-23.300,-17.994,-17.633,-3.053,-3.986,-8.660,0.053,0.964,0.278,-0.031,0.946,0.519,93.333,88830.000,1.000
8.860,-14.976,-23.283,-17.446,-17.865,-0.574,0.412,-4.174,0.053,0.963,0.278,0.000,0.854,0.519,93.333,88831.000,1.000
-2.271,-11.966,-17.652,-13.317,-13.528,2.075,3.102,1.037,0.050,0.966,0.279,-0.061,0.916,0.549,93.333,88832.000,1.000
-0.153,-5.097,-9.414,-7.306,-6.523,3.760,3.041,6.125,0.053,0.966,0.282,0.092,0.763,0.580,93.333,88833.000,1.000
15.985,1.413,-2.062,-2.040,-0.117,5.014,3.500,10.678,0.051,0.967,0.278,0.122,0.702,0.671,93.333,88834.000,1.000
21.732,4.882,3.049,0.447,3.669,6.375,7.346,14.197,0.052,0.968,0.275,0.183,0.702,0.671,93.333,88835.000,1.000
11.685,5.757,5.623,-0.276,4.514,6.839,11.449,14.931,0.053,0.967,0.273,0.183,0.610,0.519,93.333,88836.000,1.000
10.520,7.738,7.335,-1.861,5.156,7.430,12.528,12.786,0.051,0.967,0.273,0.275,0.580,0.549,93.333,88837.000,1.000
26.187,11.354,9.053,-2.173,7.200,8.618,10.558,9.128,0.050,0.967,0.278,0.214,0.519,0.519,93.333,88838.000,1.000
