timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1713488367.9564672,155843.875,144477.390625,231769.0,216137.359375,146548.59375,160031.25,132404.859375,142345.84375,0.0
1713488367.9614377,155851.390625,144489.109375,231772.671875,216130.734375,146556.28125,160039.578125,132410.9375,142340.203125,0.0
1713488367.9639258,155835.125,144490.625,231762.203125,216126.890625,146557.265625,160037.78125,132412.984375,142337.34375,0.0
1713488367.9663725,155840.75,144482.84375,231754.15625,216126.265625,146553.6875,160031.4375,132410.75,142341.90625,0.0
1713488367.9689305,155859.890625,144481.765625,231760.875,216136.546875,146560.03125,160036.171875,132415.234375,142348.96875,0.0
1713488367.971368,155854.78125,144490.890625,231764.359375,216127.15625,146567.546875,160043.59375,132419.875,142344.59375,0.0
1713488367.9739275,155837.359375,144497.859375,231755.328125,216117.859375,146566.203125,160040.015625,132416.03125,142339.578125,0.0
1713488367.9763772,155850.578125,144499.828125,231754.703125,216129.21875,146568.4375,160039.578125,132419.421875,142350.125,0.0
1713488367.9789252,155885.90625,144507.25,231768.828125,216149.515625,146576.75,160047.703125,132425.859375,142359.875,0.0
1713488367.981415,155883.046875,144503.234375,231760.875,216131.8125,146568.796875,160041.890625,132412.09375,142340.296875,0.0
1713488367.9839306,155851.84375,144492.140625,231735.5625,216107.046875,146553.953125,160027.5,132396.90625,142323.21875,0.0
1713488367.9864252,155862.203125,144492.328125,231732.34375,216119.03125,146553.953125,160024.640625,132397.703125,142335.296875,0.0
1713488367.9889152,155888.9375,144488.125,231733.421875,216116.609375,146556.375,160030.09375,132404.046875,142347.453125,0.0
1713488367.9914303,155891.265625,144487.859375,231728.0625,216103.375,146558.078125,160036.625,132408.25,142347.265625,0.0
1713488367.9939797,155872.40625,144486.953125,231710.53125,216083.359375,146551.71875,160034.75,132404.140625,142339.21875,0.0
1713488367.9964745,155862.125,144480.703125,231694.703125,216082.1875,146546.890625,160029.5625,132405.84375,142346.90625,0.0
1713488367.9989693,155883.390625,144482.671875,231706.78125,216107.671875,146557.890625,160037.609375,132416.03125,142370.421875,0.0
