timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1713487682.7828894,155525.140625,147389.46875,224703.34375,208324.4375,148656.453125,160352.40625,131141.171875,141990.796875,0.0
1713487682.7828932,155480.890625,147397.328125,224678.046875,208284.921875,148651.265625,160350.890625,131136.703125,141973.8125,0.0
1713487682.7829063,155503.953125,147401.625,224682.96875,208297.53125,148657.171875,160354.375,131142.875,141980.796875,0.0
1713487682.7829103,155548.390625,147392.59375,224696.828125,208325.328125,148657.96875,160350.34375,131138.40625,141991.078125,0.0
1713487682.7829142,155542.125,147387.5,224690.03125,208319.875,148655.921875,160349.90625,131141.171875,141991.78125,0.0
1713487682.782918,155493.859375,147383.296875,224660.796875,208287.328125,148645.71875,160344.71875,131132.328125,141971.671875,0.0
1713487682.7829216,155495.1875,147380.078125,224653.015625,208284.65625,148641.25,160340.515625,131123.921875,141965.953125,0.0
1713487682.7829256,155548.125,147375.421875,224671.25,208313.625,148645.90625,160340.96875,131131.171875,141986.609375,0.0
1713487682.78293,155550.625,147378.296875,224671.78125,208313.4375,148651.0,160345.25,131142.703125,141992.859375,0.0
1713487682.782934,155510.578125,147389.109375,224654.0,208285.453125,148650.1875,160347.84375,131142.515625,141976.328125,0.0
1713487682.7854187,155492.25,147392.421875,224637.359375,208268.5625,148641.15625,160335.0625,131117.578125,141960.234375,0.0
1713487682.7879589,155546.515625,147393.3125,224660.609375,208303.421875,148651.453125,160339.703125,131126.875,141985.34375,0.0
1713487682.7909675,155559.296875,147394.65625,224667.5,208314.328125,148657.703125,160349.90625,131138.234375,141993.484375,0.0
1713487682.7909782,155517.546875,147392.859375,224642.546875,208283.671875,148649.125,160347.125,131129.203125,141973.734375,0.0
1713487682.7929015,155484.546875,147394.390625,224617.703125,208257.734375,148645.015625,160346.234375,131131.96875,141967.640625,0.0
1713487682.803482,155535.25,147394.03125,224636.296875,208282.421875,148650.375,160350.890625,131141.171875,141982.40625,0.0
1713487682.8034897,155562.34375,147397.421875,224651.671875,208299.671875,148657.96875,160355.71875,131146.359375,141993.125,0.0
1713487682.8059871,155531.40625,147396.171875,224632.71875,208274.09375,148650.46875,160346.421875,131132.328125,141982.046875,0.0
1713487682.805999,155489.921875,147397.328125,224602.953125,208243.96875,148640.09375,160339.078125,131116.953125,141962.546875,0.0
1713487682.807902,155532.46875,147397.515625,224620.203125,208271.15625,148650.90625,160344.53125,131130.359375,141985.625,0.0
1713487682.8103943,155564.390625,147398.5,224637.453125,208293.765625,148663.15625,160354.109375,131144.84375,142005.28125,0.0
1713487682.8134825,155537.390625,147393.21875,224623.515625,208276.96875,148662.625,160353.921875,131146.453125,141997.328125,0.0
1713487682.8134956,155485.265625,147388.84375,224588.546875,208238.25,148651.0,160345.078125,131136.265625,141975.609375,0.0
1713487682.8153884,155520.859375,147392.234375,224600.53125,208259.078125,148661.375,160352.859375,131154.234375,141996.609375,0.0
1713487682.8178995,155565.28125,147396.078125,224623.328125,208291.796875,148673.0,160361.34375,131168.796875,142019.6875,0.0
1713487682.8230271,155551.703125,147397.953125,224618.0625,208280.1875,148668.875,160357.140625,131156.109375,142004.03125,0.0
1713487682.8279502,155499.390625,147400.640625,224585.78125,208242.625,148655.5625,160350.171875,131137.15625,141972.296875,0.0
1713487682.830478,155519.6875,147408.15625,224588.1875,208254.609375,148660.390625,160357.5,131142.96875,141982.125,0.0
1713487682.8329527,155562.421875,147404.578125,224605.09375,208280.09375,148668.796875,160366.53125,131157.890625,142006.0,0.0
1713487682.8354428,155549.640625,147404.21875,224600.265625,208267.125,148672.453125,160372.96875,131160.484375,142005.28125,0.0
1713487682.8385222,155491.078125,147402.4375,224566.015625,208221.625,148662.890625,160365.453125,131145.734375,141983.296875,0.0
1713487682.838542,155488.390625,147406.71875,224559.671875,208225.734375,148667.625,160370.734375,131152.984375,141988.390625,0.0
1713487682.8629906,155535.515625,147403.40625,224577.640625,208252.203125,148676.390625,160381.90625,131173.453125,142011.90625,0.0
1713487682.8892443,155534.984375,147396.265625,224575.046875,208247.453125,148672.453125,160374.75,131165.234375,142011.09375,0.0
1713487682.8892553,155480.796875,147383.65625,224539.203125,208207.140625,148647.953125,160344.53125,131120.53125,141973.90625,0.0
1713487682.8892598,155467.125,147384.546875,224523.546875,208194.34375,148642.765625,160341.40625,131119.453125,141967.46875,0.0
1713487682.9430068,155524.421875,147386.25,224547.0625,208228.5,148653.40625,160347.75,131135.8125,141993.484375,0.0
1713487682.9992514,155539.8125,147387.671875,224553.59375,208238.78125,148658.15625,160350.265625,131141.453125,141999.390625,0.0
1713487683.0154595,155493.140625,147379.453125,224521.671875,208200.4375,148643.578125,160340.609375,131127.3125,141973.640625,0.0
1713487683.024859,155455.140625,147375.15625,224489.84375,208171.90625,148631.953125,160335.234375,131120.796875,141958.53125,0.0
1713487683.02487,155500.46875,147369.4375,224500.484375,208198.828125,148636.25,160338.015625,131128.65625,141973.90625,0.0
1713487683.0268512,155523.796875,147372.484375,224512.28125,208211.96875,148645.71875,160346.234375,131137.6875,141987.046875,0.0
1713487683.0293427,155496.53125,147372.390625,224497.4375,208188.09375,148643.484375,160345.25,131134.203125,141975.25,0.0
1713487683.0317757,155452.453125,147369.796875,224466.15625,208154.03125,148631.328125,160337.03125,131120.53125,141952.0,0.0
1713487683.0342903,155497.78125,147374.09375,224484.921875,208182.734375,148642.5,160347.046875,131138.40625,141978.5625,0.0
1713487683.03677,155530.859375,147375.25,224499.953125,208202.125,148649.65625,160353.84375,131146.984375,141993.046875,0.0
1713487683.0393307,155508.78125,147376.234375,224488.765625,208184.6875,148645.546875,160351.0625,131138.671875,141979.453125,0.0
1713487683.0417838,155457.375,147375.703125,224457.484375,208148.65625,148634.640625,160342.84375,131128.390625,141958.890625,0.0
1713487683.0442665,155492.25,147383.390625,224472.40625,208175.03125,148648.3125,160353.5625,131142.421875,141981.6875,0.0
1713487683.054204,155527.015625,147374.984375,224483.5,208195.953125,148651.796875,160355.53125,131146.625,141995.1875,0.0
1713487683.0567641,155512.890625,147370.6875,224474.109375,208185.046875,148648.5,160353.921875,131142.703125,141990.71875,0.0
1713487683.0592172,155453.890625,147364.515625,224435.75,208141.15625,148631.953125,160341.140625,131129.90625,141967.296875,0.0
1713487683.0616465,155467.921875,147365.78125,224436.015625,208143.390625,148631.234375,160338.71875,131126.875,141970.15625,0.0
1713487683.064186,155512.1875,147362.734375,224453.1875,208167.4375,148631.859375,160335.859375,131119.71875,141979.359375,0.0
1713487683.0667207,155506.375,147363.09375,224449.171875,208161.265625,148632.671875,160335.953125,131120.796875,141977.125,0.0
1713487683.069255,155452.09375,147359.96875,224414.921875,208121.03125,148621.9375,160326.125,131108.28125,141952.71875,0.0
1713487683.071745,155451.296875,147362.5625,224408.125,208121.84375,148621.671875,160323.96875,131107.109375,141950.21875,0.0
1713487683.0742028,155507.625,147367.828125,224436.921875,208157.609375,148639.375,160337.46875,131129.5625,141983.296875,0.0
1713487683.0767224,155528.8125,147386.34375,224458.015625,208177.8125,148666.203125,160364.65625,131169.25,142016.203125,0.0
1713487683.0792348,155479.09375,147380.796875,224427.171875,208140.703125,148651.453125,160354.640625,131151.453125,141987.765625,0.0
1713487683.0817049,155469.71875,147382.5,224413.84375,208125.859375,148644.296875,160348.109375,131128.921875,141969.4375,0.0
