timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1713489601.7533734,135036.734375,131502.734375,172210.625,192128.265625,129777.6328125,142111.0625,123635.4609375,120491.5546875,0.0
1713489601.7577279,135019.390625,131490.21875,172195.875,192055.046875,129695.375,142096.65625,123608.375,120458.5625,0.0
1713489601.7577689,134969.046875,131351.640625,172215.546875,191855.765625,129318.4375,142000.8125,123500.6328125,120390.703125,0.0
1713489601.7596998,134997.921875,131396.4375,172219.21875,191977.171875,129507.8046875,142040.78125,123557.140625,120441.578125,0.0
1713489601.7701647,135027.96875,131482.09375,172200.171875,192102.875,129751.078125,142102.921875,123628.3125,120486.546875,0.0
1713489601.7701855,135032.171875,131507.390625,172192.125,192084.28125,129756.265625,142115.703125,123631.171875,120481.09375,0.0
1713489601.772044,134979.953125,131371.671875,172209.65625,191866.578125,129360.3671875,142018.4375,123519.0546875,120408.8515625,0.0
1713489601.7838645,134985.046875,131376.234375,172209.828125,191929.875,129451.7421875,142027.46875,123550.96875,120439.7890625,0.0
1713489601.783876,135011.0625,131462.953125,172184.34375,192066.3125,129719.15625,142093.796875,123631.3515625,120488.15625,0.0
1713489601.7864485,135025.640625,131513.921875,172174.953125,192081.15625,129786.484375,142125.453125,123651.109375,120491.8203125,0.0
1713489601.786469,134977.625,131390.359375,172189.265625,191865.0625,129410.6171875,142033.1875,123537.46875,120413.4140625,0.0
1713489601.8197353,134979.515625,131363.359375,172204.46875,191879.0,129396.21875,142016.203125,123526.3828125,120416.2734375,0.0
1713489601.822173,135012.953125,131455.4375,172190.15625,192037.34375,129687.8671875,142088.171875,123610.4296875,120473.3125,0.0
1713489601.8247736,135042.453125,131528.3125,172188.8125,192097.421875,129820.1875,142134.21875,123655.4921875,120501.65625,0.0
1713489601.8271828,134999.53125,131427.28125,172197.046875,191903.0625,129497.4296875,142063.40625,123569.296875,120435.9453125,0.0
1713489601.8296807,134981.75,131358.53125,172210.71875,191846.46875,129361.7109375,142012.53125,123520.0390625,120416.3671875,0.0
1713489601.8321345,135019.109375,131450.96875,172198.203125,192011.859375,129660.2421875,142082.625,123609.890625,120479.3984375,0.0
1713489601.8352456,135038.15625,131520.890625,172178.453125,192082.9375,129817.8671875,142129.5625,123653.078125,120499.421875,0.0
1713489601.8352587,134997.5625,131442.65625,172171.65625,191918.875,129559.390625,142066.265625,123567.515625,120434.9609375,0.0
1713489601.8371072,134967.078125,131344.40625,172192.296875,191804.265625,129320.40625,141999.5625,123503.046875,120402.234375,0.0
1713489601.8396783,135008.03125,131431.75,172188.734375,191968.59375,129610.7109375,142067.34375,123590.3125,120466.875,0.0
1713489601.8427484,135033.59375,131513.296875,172173.53125,192062.296875,129806.78125,142125.71875,123651.734375,120502.1953125,0.0
1713489601.842758,135009.734375,131475.375,172168.875,191950.359375,129646.7421875,142096.9375,123608.7265625,120463.484375,0.0
1713489601.844662,134973.96875,131352.984375,172193.203125,191788.53125,129323.0,142009.9375,123517.8046875,120409.8359375,0.0
1713489601.8477075,135007.9375,131418.15625,172189.171875,191934.078125,129570.65625,142063.765625,123589.7734375,120466.34375,0.0
1713489601.8477376,135033.0625,131500.6875,172168.875,192039.84375,129788.359375,142123.484375,123653.34375,120503.359375,0.0
1713489601.853326,135018.3125,131494.515625,172158.234375,191971.1875,129712.09375,142113.375,123629.921875,120476.890625,0.0
1713489601.8601532,134969.9375,131358.171875,172181.21875,191770.203125,129332.1171875,142012.984375,123518.3359375,120406.4375,0.0
1713489601.8601658,135002.484375,131406.1875,172190.515625,191893.671875,129521.484375,142050.53125,123576.0078125,120457.4921875,0.0
1713489601.8696575,135036.546875,131501.484375,172177.640625,192025.640625,129774.1484375,142122.59375,123654.7734375,120507.9140625,0.0
1713489601.8770363,135029.484375,131519.734375,172159.21875,191997.296875,129774.1484375,142130.375,123652.0,120492.71875,0.0
1713489601.877049,134978.890625,131381.6875,172177.28125,191778.0625,129375.8359375,142031.390625,123537.46875,120417.4375,0.0
1713489601.8770547,134994.4375,131390.0,172183.90625,191848.515625,129468.5546875,142041.859375,123563.4921875,120448.4609375,0.0
1713489601.87965,135018.21875,131468.9375,172154.84375,191982.984375,129728.28125,142098.8125,123630.8984375,120491.375,0.0
1713489601.883354,135027.703125,131514.8125,172140.0,191995.6875,129798.4609375,142131.0,123653.703125,120496.1171875,0.0
1713489601.9109583,134972.984375,131385.171875,172148.765625,191772.96875,129415.4453125,142032.828125,123537.3828125,120416.3671875,0.0
1713489601.936565,134972.71875,131358.171875,172162.4375,191782.984375,129399.0859375,142013.6875,123534.609375,120426.2890625,0.0
1713489601.9365852,135012.40625,131458.390625,172151.359375,191946.328125,129698.328125,142094.25,123632.0625,120491.109375,0.0
1713489601.9608305,135028.0625,131520.890625,172135.984375,191995.5,129820.8125,142141.71875,123672.8359375,120506.9296875,0.0
1713489601.9859397,134983.796875,131420.578125,172142.859375,191801.578125,129493.8515625,142066.796875,123570.015625,120432.3671875,0.0
1713489602.0021312,134971.546875,131356.109375,172160.921875,191751.15625,129361.3515625,142014.859375,123521.9140625,120415.5625,0.0
1713489602.0082986,135015.71875,131452.5,172152.34375,191923.265625,129663.640625,142085.390625,123607.7421875,120480.734375,0.0
1713489602.010872,135036.109375,131525.890625,172134.71875,191996.578125,129827.4296875,142136.890625,123662.90625,120507.828125,0.0
1713489602.0133247,134992.109375,131445.25,172126.859375,191828.3125,129570.4765625,142076.015625,123589.1484375,120445.6015625,0.0
1713489602.015824,134964.3125,131343.953125,172148.140625,191710.5625,129330.5078125,142005.828125,123519.0546875,120407.8671875,0.0
1713489602.0183704,135005.53125,131431.125,172143.046875,191877.75,129620.7265625,142077.796875,123607.1171875,120474.8359375,0.0
1713489602.0208397,135017.859375,131501.9375,172115.5,191963.578125,129805.4375,142127.5,123657.9921875,120499.6875,0.0
1713489602.0233612,134987.828125,131459.46875,172110.3125,191850.3125,129642.0,142095.765625,123616.8671875,120464.5546875,0.0
1713489602.025864,134954.5625,131342.34375,172139.734375,191692.0625,129324.15625,142013.6875,123526.921875,120416.3671875,0.0
1713489602.028367,134993.640625,131412.53125,172139.828125,191840.03125,129571.1875,142065.375,123591.5625,120471.4375,0.0
1713489602.0308044,135020.71875,131496.75,172120.515625,191951.15625,129790.2421875,142124.296875,123656.296875,120511.046875,0.0
1713489602.0333807,135004.28125,131489.15625,172106.296875,191881.234375,129713.078125,142109.984375,123629.2890625,120482.078125,0.0
1713489602.035884,134947.953125,131345.65625,172121.9375,191668.984375,129321.1171875,142004.84375,123512.8828125,120405.3671875,0.0
1713489602.0384312,134981.125,131394.828125,172129.71875,191792.8125,129515.9375,142046.234375,123573.7734375,120457.046875,0.0
1713489602.040882,135014.015625,131484.046875,172114.515625,191917.8125,129761.453125,142115.34375,123651.46875,120504.3359375,0.0
1713489602.043382,135014.28125,131513.015625,172104.5,191897.609375,129775.21875,142129.46875,123656.6484375,120495.6640625,0.0
1713489602.0457983,134958.40625,131371.046875,172122.921875,191671.9375,129368.59375,142021.921875,123531.3046875,120413.859375,0.0
1713489602.048296,134972.265625,131380.515625,172129.09375,191743.90625,129464.796875,142033.1875,123558.5703125,120444.9765625,0.0
1713489602.0507934,135019.203125,131487.8125,172126.140625,191900.203125,129747.7734375,142119.8125,123659.15625,120512.4765625,0.0
1713489602.0533187,135026.09375,131534.75,172108.796875,191918.171875,129820.9921875,142143.59375,123673.7265625,120511.7578125,0.0
1713489602.0558193,134962.15625,131394.734375,172109.515625,191685.890625,129423.21875,142036.671875,123542.390625,120419.40625,0.0
1713489602.0583167,134965.296875,131367.28125,172123.546875,191696.96875,129408.203125,142015.21875,123533.1796875,120425.75,0.0
1713489602.0608084,135008.828125,131467.6875,172116.3125,191859.25,129706.1953125,142097.015625,123635.640625,120495.6640625,0.0
1713489602.0633075,135021.625,131525.984375,172094.84375,191904.390625,129827.34375,142136.265625,123668.2734375,120506.3984375,0.0
1713489602.0658298,134970.03125,131414.765625,172095.5625,191702.96875,129493.3203125,142050.265625,123558.9296875,120430.671875,0.0
1713489602.0683038,134955.453125,131349.140625,172115.859375,191653.96875,129364.84375,142010.5625,123524.421875,120420.7421875,0.0
1713489602.0708084,134995.875,131443.1875,172105.671875,191822.328125,129664.4453125,142084.328125,123611.140625,120483.953125,0.0
1713489602.0733085,135011.609375,131508.8125,172082.328125,191890.890625,129818.8515625,142126.96875,123655.9375,120503.7109375,0.0
1713489602.0798035,134974.953125,131434.796875,172082.609375,191730.6875,129568.6875,142072.34375,123589.1484375,120447.296875,0.0
1713489602.079821,134953.21875,131339.578125,172111.03125,191616.6875,129326.84375,141999.203125,123510.9140625,120405.90625,0.0
1713489602.0798275,135002.125,131432.734375,172111.921875,191785.3125,129621.078125,142069.296875,123595.046875,120470.546875,0.0
1713489602.0798333,135034.140625,131517.9375,172100.484375,191882.140625,129816.8828125,142131.796875,123659.2421875,120506.21875,0.0
1713489602.0798388,135001.6875,131468.40625,172084.5625,191761.703125,129647.453125,142092.375,123606.3125,120456.59375,0.0
1713489602.079844,134969.671875,131347.625,172114.15625,191600.953125,129321.8359375,142007.25,123513.15625,120405.1875,0.0
1713489602.0832396,135004.8125,131419.328125,172111.5625,191753.75,129578.2578125,142062.6875,123587.0,120465.71875,0.0
1713489602.083253,135025.828125,131503.546875,172090.828125,191861.484375,129795.9609375,142126.34375,123658.9765625,120506.84375,0.0
1713489602.0832584,135014.015625,131500.5,172080.640625,191797.375,129727.203125,142119.734375,123636.8046875,120482.4375,0.0
1713489602.090691,134964.671875,131360.40625,172102.265625,191590.484375,129339.09375,142013.953125,123518.3359375,120409.5703125,0.0
1713489602.0907123,134991.75,131406.53125,172107.71875,191709.84375,129528.453125,142048.828125,123573.3203125,120458.0234375,0.0
1713489602.0907187,135010.890625,131486.015625,172080.453125,191826.609375,129763.859375,142105.0625,123637.1640625,120494.1484375,0.0
1713489602.0964277,135009.015625,131509.71875,172066.859375,191804.625,129772.359375,142119.375,123641.8984375,120487.7109375,0.0
1713489602.0964427,134961.453125,131375.609375,172088.953125,191590.484375,129378.4296875,142023.796875,123531.03125,120417.078125,0.0
1713489602.0983026,134982.453125,131387.578125,172102.0,191664.96875,129474.2734375,142037.75,123558.9296875,120450.25,0.0
1713489602.1008425,135020.546875,131484.859375,172091.71875,191817.21875,129756.625,142119.015625,123657.453125,120518.1953125,0.0
1713489602.1033297,135018.046875,131523.03125,172067.046875,191823.84375,129820.8125,142144.046875,123674.265625,120515.15625,0.0
1713489602.1063557,134962.796875,131391.15625,172073.125,191600.859375,129436.2734375,142044.71875,123551.7734375,120430.4921875,0.0
1713489602.1063857,134967.4375,131368.0,172088.6875,191613.109375,129423.578125,142034.078125,123552.046875,120441.6640625,0.0
1713489602.1083288,135005.796875,131467.328125,172075.359375,191766.078125,129712.6328125,142112.046875,123639.0390625,120497.90625,0.0
1713489602.1108184,135017.5,131524.375,172053.28125,191807.5625,129828.328125,142141.8125,123662.640625,120503.265625,0.0
1713489602.1572397,134975.484375,131419.234375,172061.40625,191614.1875,129501.3671875,142063.765625,123570.375,120436.390625,0.0
1713489602.160324,134963.234375,131349.40625,172078.75,191563.40625,129364.2109375,142009.21875,123519.9453125,120416.1875,0.0
1713489602.1603613,135005.703125,131443.546875,172069.546875,191734.796875,129666.3203125,142083.515625,123614.984375,120484.046875,0.0
1713489602.162304,135019.203125,131512.125,172046.296875,191800.328125,129824.5703125,142130.71875,123667.2890625,120508.0078125,0.0
1713489602.1646664,134972.71875,131428.171875,172033.96875,191628.9375,129559.8359375,142056.34375,123568.8515625,120432.9921875,0.0
1713489602.1671505,134947.859375,131331.890625,172059.171875,191520.578125,129324.0703125,141989.546875,123504.2109375,120400.71875,0.0
1713489602.169619,134992.828125,131421.46875,172056.5,191690.625,129617.234375,142058.3125,123593.890625,120469.921875,0.0
1713489602.1720457,135011.0625,131498.09375,172031.8125,191776.28125,129803.5625,142112.484375,123647.890625,120496.828125,0.0
1713489602.1746297,134989.25,131466.078125,172028.78125,191661.484375,129644.1484375,142089.953125,123608.375,120457.21875,0.0
1713489602.1771677,134953.578125,131347.890625,172057.203125,191497.78125,129321.296875,142004.9375,123510.7421875,120399.9140625,0.0
1713489602.1796575,134990.953125,131418.34375,172060.078125,191652.265625,129577.0,142060.90625,123587.6328125,120463.2109375,0.0
1713489602.182166,135022.609375,131508.546875,172049.609375,191771.1875,129807.5859375,142132.6875,123666.9296875,120513.3671875,0.0
1713489602.1845987,135009.546875,131498.71875,172039.328125,191704.21875,129732.5703125,142119.375,123637.875,120486.4609375,0.0
1713489602.1870584,134957.25,131351.28125,172055.15625,191495.890625,129343.0234375,142009.140625,123512.2578125,120407.6015625,0.0
1713489602.1895864,134984.421875,131395.546875,172058.28125,191610.609375,129524.703125,142045.25,123562.953125,120451.859375,0.0
1713489602.1920598,135003.296875,131479.3125,172030.03125,191729.15625,129764.1328125,142102.109375,123632.6015625,120490.5703125,0.0
1713489602.195933,135013.390625,131516.328125,172028.421875,191717.0,129778.171875,142126.34375,123652.09375,120496.1171875,0.0
1713489602.1959453,134966.359375,131382.21875,172050.6875,191503.140625,129387.1953125,142030.953125,123537.921875,120423.515625,0.0
1713489602.1959507,134976.921875,131381.859375,172054.265625,191565.71875,129468.375,142028.4375,123545.7890625,120442.46875,0.0
1713489602.195956,135007.21875,131475.03125,172035.125,191710.828125,129746.4296875,142101.9375,123634.8359375,120498.8828125,0.0
1713489602.195961,135014.46875,131519.09375,172018.9375,191721.46875,129811.609375,142130.640625,123659.6875,120503.0,0.0
1713489602.2014017,134962.609375,131388.921875,172028.515625,191499.734375,129428.765625,142032.015625,123538.8125,120417.8828125,0.0
1713489602.2014184,134966.8125,131363.53125,172046.65625,191511.8125,129410.2578125,142016.015625,123534.34375,120426.9140625,0.0
1713489602.2033415,135003.015625,131460.984375,172032.53125,191674.265625,129707.984375,142094.609375,123630.9921875,120492.0,0.0
1713489602.2058215,135009.734375,131514.1875,172005.625,191715.03125,129822.3359375,142123.3125,123656.0234375,120499.6875,0.0
1713489602.2082956,134963.953125,131408.6875,172010.09375,191519.140625,129492.6953125,142044.359375,123549.9921875,120424.40625,0.0
1713489602.2133455,134953.671875,131346.09375,172033.34375,191471.125,129366.625,142004.125,123518.3359375,120416.09375,0.0
1713489602.2164104,135000.609375,131450.4375,172031.46875,191649.59375,129679.4609375,142089.6875,123623.8359375,120496.0234375,0.0
1713489602.21642,135015.453125,131523.921875,172009.28125,191719.59375,129840.6640625,142138.6875,123674.4453125,120520.4296875,0.0
1713489602.2183409,134981.5625,131453.390625,172011.4375,191558.75,129591.484375,142082.53125,123602.828125,120464.015625,0.0
1713489602.2346032,134965.375,131363.625,172046.390625,191448.953125,129359.03125,142020.75,123536.6640625,120430.21875,0.0
1713489602.2376437,135006.0625,131448.921875,172040.84375,191611.5,129645.7578125,142083.875,123609.4453125,120484.4921875,0.0
1713489602.2376616,135024.5625,131523.125,172017.328125,191699.921875,129831.6328125,142135.90625,123660.8515625,120508.1875,0.0
1713489602.2439167,134994.171875,131477.609375,172006.0625,191583.15625,129665.25,142101.3125,123611.4140625,120462.5859375,0.0
1713489602.2439263,134953.046875,131348.875,172028.59375,191415.34375,129334.9765625,142005.921875,123511.9921875,120407.2421875,0.0
1713489602.2688608,134985.046875,131415.65625,172023.234375,191566.4375,129587.9140625,142061.609375,123590.3125,120467.328125,0.0
1713489602.2688742,135016.609375,131504.625,172009.015625,191684.1875,129814.734375,142132.421875,123667.5625,120514.4453125,0.0
1713489602.2939532,135006.59375,131501.484375,171999.453125,191618.03125,129745.265625,142127.953125,123649.5,120490.9296875,0.0
1713489602.2940032,134956.359375,131361.03125,172021.53125,191408.375,129353.3984375,142021.5625,123525.671875,120412.515625,0.0
1713489602.3196807,134989.25,131412.171875,172031.640625,191529.78125,129543.1171875,142060.453125,123583.515625,120460.890625,0.0
1713489602.3197312,135016.96875,131497.109375,172011.171875,191649.671875,129780.9375,142119.640625,123650.3046875,120501.2109375,0.0
1713489602.3197536,135021.171875,131524.015625,172002.40625,191637.078125,129795.515625,142133.859375,123653.609375,120495.3984375,0.0
