EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
7.069,-3.463,-1.533,2.813,-4.374,3.402,-4.913,-8.465,0.026,0.965,0.261,0.397,0.336,0.580,93.333,16450.000,1.000
1.411,-7.433,-6.050,0.684,3.389,-0.161,-0.003,0.151,0.028,0.967,0.262,0.610,0.519,0.671,93.333,16451.000,1.000
-3.644,-7.080,-5.201,3.280,9.303,-0.369,8.792,12.792,0.028,0.970,0.261,0.671,0.580,0.732,93.333,16452.000,1.000
-3.251,-5.940,-3.076,4.163,11.612,-1.295,13.040,20.216,0.027,0.968,0.260,0.793,0.671,0.763,93.333,16453.000,1.000
-2.238,-7.072,-2.512,1.190,9.783,-4.779,11.624,20.316,0.027,0.971,0.261,0.732,0.763,0.885,93.333,16454.000,1.000
-4.752,-8.240,-1.741,-0.419,4.846,-6.683,12.056,18.930,0.027,0.969,0.260,0.763,0.793,1.007,93.333,16455.000,1.000
-7.056,-8.420,-1.166,1.544,2.681,-5.691,14.144,17.733,0.024,0.970,0.261,0.793,0.824,0.977,93.333,16456.000,1.000
-5.819,-9.006,-2.750,3.775,6.433,-5.054,10.903,14.011,0.024,0.972,0.263,0.885,0.977,0.916,93.333,16457.000,1.000
-3.884,-9.044,-4.241,3.065,9.991,-5.168,4.505,8.970,0.022,0.972,0.263,0.793,1.038,0.793,93.333,16458.000,1.000
-2.800,-5.740,-1.276,0.833,9.492,-2.391,4.336,7.442,0.018,0.972,0.262,0.702,1.038,0.732,93.333,16459.000,1.000
0.354,0.838,6.121,1.956,10.983,4.496,12.024,11.557,0.018,0.971,0.261,0.702,1.038,0.580,93.333,16460.000,1.000
4.595,6.914,13.309,7.608,16.795,12.136,20.817,18.543,0.020,0.972,0.261,0.732,0.946,0.366,93.333,16461.000,1.000
6.314,9.600,16.846,13.100,19.374,16.287,23.935,22.753,0.020,0.970,0.263,0.702,0.916,0.153,93.333,16462.000,1.000
8.066,10.462,17.606,14.831,16.890,15.378,19.010,20.186,0.019,0.971,0.261,0.702,0.916,0.122,93.333,16463.000,1.000
